Card ID,Container,Folder Name,"File, TCG","File, OCG",Cen?,Patched?,Art #,English Name,Japanese Name,German Name,Korean Name
3984,Common,0000,040275ae,040275ae,No,#N/A,,Manipulator Token,魂魄トークン,Manipulator-Spielmarke,혼백 토큰
3985,Common,0000,73054538,73054538,No,#N/A,,Steam Token,スチーム・トークン,Dampf-Spielmarke,스팀 토큰
3986,Common,0000,ea0c1482,ea0c1482,No,#N/A,,Blackwing - Black Crest Token,ＢＦ－ブラック・クレスト・トークン,Schwarzflügel - Schwarzkamm-Spielmarke,BF－블랙 크레스트 토큰
3987,TCG/OCG,0000,9d0b2414,bcda0969,Yes,Yes,,Hippo Token,カバートークン,Nilpferd-Spielmarke,히포 토큰
3988,Common,0000,0db43985,0db43985,No,#N/A,,Infernoid Token,インフェルノイドトークン,Infernoid-Spielmarke,인페르노이드 토큰
3989,Common,0000,7ab30913,7ab30913,No,#N/A,,Synchron Token,シンクロントークン,Synchron-Spielmarke,싱크론 토큰
3990,Common,0000,1a7480f6,1a7480f6,No,#N/A,,Vassal Token,家臣トークン,Vasall-Spielmarke,가신 토큰
3991,Common,0000,6d73b060,6d73b060,No,#N/A,,Mini Mare Mare Token,タツノコトークン,Mini-Mare-Mare-Spielmarke,헤마 토큰
3992,Common,0000,f47ae1da,f47ae1da,No,#N/A,,DOG Fighter Token,ドッグファイタートークン,DOG-Fighter-Spielmarke,도그파이터 토큰
3993,Common,0000,837dd14c,837dd14c,No,#N/A,,Radian Token,ラディアントークン,Radian-Spielmarke,라디안 토큰
3994,Common,0000,1d1944ef,1d1944ef,No,#N/A,,Utchatzimime Token,邪眼神トークン,Utchatzimime-Spielmarke,사안신 토큰
3995,Common,0000,6a1e7479,6a1e7479,No,#N/A,,Dragon Lord Token,巨竜トークン,Drachenherr-Spielmarke,거룡 토큰
3996,Common,0000,f31725c3,f31725c3,No,#N/A,,Vague Shadow Token,朧影トークン,Vager-Schatten-Spielmarke,농그림자 토큰
3997,Common,0000,84101555,84101555,No,#N/A,,Black Sheep Token,黒羊トークン,Schwarzes-Schaf-Spielmarke,검은 양 토큰
3998,Common,0000,14af08c4,14af08c4,No,#N/A,,Crystron Token,水晶機巧トークン,Kristron-Spielmarke,크리스트론 토큰
3999,TCG/OCG,0000,63a83852,4279152f,No,#N/A,,Ancient Gear Token,古代の歯車トークン,Antiker-Antrieb-Spielmarke,앤틱 기어 토큰
4007,Common,StreamingAssets,c7d4ad2a,c7d4ad2a,No,#N/A,4,Blue-Eyes White Dragon,青眼の白龍,Blauäugiger w. Drache,푸른 눈의 백룡
4008,Common,0000,576bb0bb,576bb0bb,No,#N/A,,Mystical Elf,ホーリー・エルフ,Mystische Elfe,홀리 엘프
4009,Common,0000,206c802d,206c802d,No,#N/A,,Hitotsu-Me Giant,サイクロプス,Hitotsu-Me-Riese,외눈 거인
4010,Common,0000,40ab09c8,40ab09c8,No,#N/A,,Baby Dragon,ベビードラゴン,Babydrache,베이비 드래곤
4011,Common,0000,37ac395e,37ac395e,No,#N/A,,Ryu-Kishin,ガーゴイル,Ryu-Kishin,가고일
4012,Common,0000,aea568e4,aea568e4,No,#N/A,,Feral Imp,グレムリン,Wilder Kobold,그렘린
4013,Common,0000,d9a25872,d9a25872,No,#N/A,,"Winged Dragon, Guardian of the Fortress #1",砦を守る翼竜,"Geflügelter Drache, Festungswächter #1",요새를 지키는 익룡
4014,Common,0000,47c6cdd1,47c6cdd1,No,#N/A,,Mushroom Man,きのこマン,Pilzmann,버섯맨
4015,Common,0000,30c1fd47,30c1fd47,No,#N/A,,Shadow Specter,ヘルバウンド,Schattengespenst,헬바운드
4016,Common,0000,a9c8acfd,a9c8acfd,No,#N/A,,Blackland Fire Dragon,暗黒の竜王,Schw. Feuerdrache,암흑의 드래곤왕
4017,Common,0000,decf9c6b,decf9c6b,No,#N/A,,Sword Arm of Dragon,剣竜,Schwertarm des Drachen,스워드 드래곤
4018,Common,0000,4e7081fa,4e7081fa,No,#N/A,,Swamp Battleguard,バーバリアン２号,Sumpfkampfwächter,바바리안 2호
4019,Common,0000,3977b16c,3977b16c,No,#N/A,,Tyhone,タイホーン,Tyhone,타이혼
4020,Common,0000,6b865a0b,6b865a0b,No,#N/A,,Battle Steer,牛魔人,Kampfstier,황소마인
4021,Common,0000,1c816a9d,1c816a9d,No,#N/A,1,Flame Swordsman,炎の剣士,Flammen-Schwertkämpfer,화염의 검사
4022,Common,0000,85883b27,85883b27,No,#N/A,,Time Wizard,時の魔術師,Zeitzauberer,시간의 마술사
4023,TCG/OCG,0000,f28f0bb1,d35e26cc,Yes,Yes,,Right Leg of the Forbidden One,封印されし者の右足,Rechtes Bein der Verbotenen,봉인된 자의 오른쪽 다리
